MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
800,B,AED,EUR,79849894,4.37320-,1,1
800,B,AED,EUR,79849893,4.36810-,1,1
800,B,AED,EUR,79849892,4.34310-,1,1
800,B,AED,EUR,79849891,4.32510-,1,1
800,G,AED,EUR,79858768,4.46420-,1,1
800,G,AED,EUR,79849897,4.42710-,1,1
800,G,AED,EUR,79849894,4.37270-,1,1
800,G,AED,EUR,79849893,4.36720-,1,1
800,G,AED,EUR,79849892,4.34150-,1,1
800,B,CZK,EUR,79858768,27.73300-,1,1
800,B,CZK,EUR,79849897,27.75300-,1,1
800,B,CZK,EUR,79849894,27.67200-,1,1
800,B,CZK,EUR,79849893,27.69700-,1,1
800,B,CZK,EUR,79849892,27.78800-,1,1
800,B,CZK,EUR,79849891,27.91100-,1,1
800,G,CZK,EUR,79858768,27.70300-,1,1
800,G,CZK,EUR,79849897,27.68300-,1,1
800,G,CZK,EUR,79849894,27.64200-,1,1
800,G,CZK,EUR,79849893,27.67200-,1,1
800,G,CZK,EUR,79849892,27.78000-,1,1
800,G,CZK,EUR,79849891,27.84100-,1,1
800,B,DKK,EUR,79858769,7.44400-,1,1
800,G,DKK,EUR,79858768,7.44420-,1,1
800,B,DKK,EUR,79858768,7.44450-,1,1
800,G,DKK,EUR,79849897,7.44330-,1,1
800,B,DKK,EUR,79849897,7.44360-,1,1
800,G,DKK,EUR,79849894,7.44120-,1,1
800,B,DKK,EUR,79849894,7.44150-,1,1
800,G,DKK,EUR,79849893,7.44130-,1,1
800,B,DKK,EUR,79849893,7.44160-,1,1
800,G,DKK,EUR,79849892,7.44210-,1,1
800,B,DKK,EUR,79849892,7.44240-,1,1
800,B,MXN,EUR,79858768,17.85590-,1,1
800,B,MXN,EUR,79849897,17.86740-,1,1
800,B,MXN,EUR,79849894,17.73550-,1,1
800,B,MXN,EUR,79849893,17.77730-,1,1
800,B,MXN,EUR,79849892,17.61570-,1,1
800,B,MXN,EUR,79849891,17.29710-,1,1
800,G,MXN,EUR,79858768,17.82790-,1,1
800,G,MXN,EUR,79849897,17.84190-,1,1
800,G,MXN,EUR,79849894,17.71040-,1,1
800,G,MXN,EUR,79849893,17.77030-,1,1
800,G,MXN,EUR,79849892,17.59040-,1,1
800,G,MXN,EUR,79849891,17.28210-,1,1
800,B,USD,EUR,79858780,1.22640-,1,1
800,B,USD,EUR,79858777,1.22630-,1,1
800,B,USD,EUR,79858775,1.22000-,1,1
800,B,USD,EUR,79858774,1.22400-,1,1
800,B,USD,EUR,79858770,1.21920-,1,1
800,B,USD,EUR,79858769,1.21660-,1,1
800,G,USD,EUR,79858780,1.22630-,1,1
800,G,USD,EUR,79858777,1.22610-,1,1
800,G,USD,EUR,79858775,1.21990-,1,1
800,G,USD,EUR,79858774,1.22370-,1,1
800,G,USD,EUR,79858770,1.21890-,1,1
800,G,USD,EUR,79858769,1.21650-,1,1
800,B,JPY,EUR,79858777,*6.81000-,1,1
800,B,JPY,EUR,79858775,*6.95000-,1,1
800,B,JPY,EUR,79858774,*7.13000-,1,1
800,B,JPY,EUR,79858770,*6.86000-,1,1
800,B,JPY,EUR,79858769,*5.30000-,1,1
800,G,JPY,EUR,79858780,*6.35000-,1,1
800,G,JPY,EUR,79858777,*6.76000-,1,1
800,G,JPY,EUR,79858775,*6.88000-,1,1
800,G,JPY,EUR,79858774,*6.98000-,1,1
800,G,JPY,EUR,79858770,*6.81000-,1,1
800,G,JPY,EUR,79858769,*5.27000-,1,1
800,B,GBP,EUR,79858780,0.78510-,1,1
800,B,GBP,EUR,79858777,0.78550-,1,1
800,B,GBP,EUR,79858775,0.78510-,1,1
800,B,GBP,EUR,79858774,0.78520-,1,1
800,B,GBP,EUR,79858770,0.78420-,1,1
800,G,GBP,EUR,79858780,0.78490-,1,1
800,G,GBP,EUR,79858777,0.78500-,1,1
800,G,GBP,EUR,79858775,0.78450-,1,1
800,G,GBP,EUR,79858774,0.78500-,1,1
800,G,GBP,EUR,79858770,0.78410-,1,1
800,G,GBP,EUR,79858769,0.78310-,1,1
800,B,CHF,EUR,79858780,1.20410-,1,1
800,B,CHF,EUR,79858777,1.20360-,1,1
800,B,CHF,EUR,79858775,1.20260-,1,1
800,B,CHF,EUR,79858774,1.20210-,1,1
800,B,CHF,EUR,79858770,1.20300-,1,1
800,B,CHF,EUR,79858769,1.20320-,1,1
800,G,CHF,EUR,79858780,1.20380-,1,1
800,G,CHF,EUR,79858777,1.20330-,1,1
800,G,CHF,EUR,79858775,1.20240-,1,1
800,G,CHF,EUR,79858774,1.20180-,1,1
800,G,CHF,EUR,79858770,1.20270-,1,1
800,G,CHF,EUR,79858769,1.20300-,1,1
800,B,ZAR,EUR,79858777,14.21490-,1,1
800,B,ZAR,EUR,79858775,14.22640-,1,1
800,B,ZAR,EUR,79858774,14.22950-,1,1
800,B,ZAR,EUR,79858770,14.16670-,1,1
800,B,ZAR,EUR,79858769,14.15310-,1,1
800,G,ZAR,EUR,79858777,14.21050-,1,1
800,G,ZAR,EUR,79858775,14.21890-,1,1
800,G,ZAR,EUR,79858774,14.22200-,1,1
800,G,ZAR,EUR,79858770,14.15670-,1,1
800,G,ZAR,EUR,79858769,14.14310-,1,1
800,B,CAD,EUR,79858780,1.42250-,1,1
800,B,CAD,EUR,79858777,1.42390-,1,1
800,B,CAD,EUR,79858775,1.41590-,1,1
800,B,CAD,EUR,79858774,1.42440-,1,1
800,B,CAD,EUR,79858770,1.41730-,1,1
800,B,CAD,EUR,79858769,1.41370-,1,1
800,G,CAD,EUR,79858780,1.42200-,1,1
800,G,CAD,EUR,79858777,1.42320-,1,1
800,G,CAD,EUR,79858775,1.41520-,1,1
800,G,CAD,EUR,79858774,1.42210-,1,1
800,G,CAD,EUR,79858770,1.41680-,1,1
800,G,CAD,EUR,79858769,1.41270-,1,1
800,G,NZD,EUR,79858780,1.57690-,1,1
800,B,NZD,EUR,79858780,1.57720-,1,1
800,G,NZD,EUR,79858777,1.57890-,1,1
800,B,NZD,EUR,79858777,1.58040-,1,1
800,G,NZD,EUR,79858775,1.57940-,1,1
800,B,NZD,EUR,79858775,1.58150-,1,1
800,G,NZD,EUR,79858774,1.58180-,1,1
800,B,NZD,EUR,79858774,1.58340-,1,1
800,G,NZD,EUR,79858770,1.56430-,1,1
800,B,NZD,EUR,79858770,1.56590-,1,1
800,G,NZD,EUR,79858769,1.55390-,1,1
800,B,NZD,EUR,79858769,1.55540-,1,1
800,B,TWD,EUR,79858777,38.78570-,1,1
800,B,TWD,EUR,79858775,38.81430-,1,1
800,B,TWD,EUR,79858774,38.91100-,1,1
800,B,TWD,EUR,79858770,38.76740-,1,1
800,B,TWD,EUR,79858769,38.61370-,1,1
800,G,TWD,EUR,79858777,38.74580-,1,1
800,G,TWD,EUR,79858775,38.78350-,1,1
800,G,TWD,EUR,79858774,38.77910-,1,1
800,G,TWD,EUR,79858770,38.72760-,1,1
800,G,TWD,EUR,79858769,38.57400-,1,1
800,B,AUD,EUR,79858780,1.50030-,1,1
800,B,AUD,EUR,79858777,1.50390-,1,1
800,B,AUD,EUR,79858775,1.50410-,1,1
800,B,AUD,EUR,79858774,1.50640-,1,1
800,B,AUD,EUR,79858770,1.49580-,1,1
800,G,AUD,EUR,79858769,1.49010-,1,1
800,B,AUD,EUR,79858769,1.49050-,1,1
800,G,AUD,EUR,79858780,1.50020-,1,1
800,G,AUD,EUR,79858777,1.50350-,1,1
800,B,SEK,EUR,79858777,9.53850-,1,1
800,G,AUD,EUR,79858775,1.50370-,1,1
800,B,SEK,EUR,79858775,9.50680-,1,1
800,G,AUD,EUR,79858774,1.50510-,1,1
800,B,SEK,EUR,79858774,9.54650-,1,1
800,G,AUD,EUR,79858770,1.49530-,1,1
800,B,SEK,EUR,79858770,9.57860-,1,1
800,B,SEK,EUR,79858769,9.48440-,1,1
800,G,SEK,EUR,79858780,9.49040-,1,1
800,G,SEK,EUR,79858777,9.53650-,1,1
800,G,SEK,EUR,79858775,9.49940-,1,1
800,G,SEK,EUR,79858774,9.53850-,1,1
800,G,SEK,EUR,79858770,9.57090-,1,1
800,G,SEK,EUR,79858769,9.47700-,1,1
800,B,SAR,EUR,79858780,4.60550-,1,1
800,B,SAR,EUR,79858777,4.60290-,1,1
800,B,SAR,EUR,79858775,4.57930-,1,1
800,B,SAR,EUR,79858774,4.59400-,1,1
800,B,SAR,EUR,79858770,4.57590-,1,1
800,B,SAR,EUR,79858769,4.56690-,1,1
800,G,SAR,EUR,79858780,4.60420-,1,1
800,G,SAR,EUR,79858777,4.60150-,1,1
800,G,SAR,EUR,79858775,4.57770-,1,1
800,G,SAR,EUR,79858774,4.59230-,1,1
800,G,SAR,EUR,79858770,4.57490-,1,1
800,G,SAR,EUR,79858769,4.56490-,1,1
800,B,PLN,EUR,79858780,4.27150-,1,1
800,B,PLN,EUR,79858777,4.26980-,1,1
800,B,PLN,EUR,79858775,4.31000-,1,1
800,B,PLN,EUR,79858774,4.34310-,1,1
800,B,PLN,EUR,79858770,4.30180-,1,1
800,B,PLN,EUR,79858769,4.31360-,1,1
800,G,PLN,EUR,79858780,4.27030-,1,1
800,G,PLN,EUR,79858777,4.26630-,1,1
800,G,PLN,EUR,79858775,4.30700-,1,1
800,G,PLN,EUR,79858774,4.33910-,1,1
800,G,PLN,EUR,79858770,4.30070-,1,1
800,G,PLN,EUR,79858769,4.30910-,1,1
800,B,NOK,EUR,79858777,9.12990-,1,1
800,B,NOK,EUR,79858775,9.14470-,1,1
800,B,NOK,EUR,79858774,9.10100-,1,1
